,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bambous virieux,-20.3428,57.7575,77.22,81,100,5.93,MU,1674428918
1,ancud,-41.8697,-73.8203,62.01,74,11,6.35,CL,1674428918
2,nikolskoye,59.7035,30.7861,22.89,97,69,2.46,RU,1674428902
3,mataura,-46.1927,168.8643,60.3,41,57,5.64,NZ,1674428895
4,butaritari,3.0707,172.7902,80.65,75,96,12.8,KI,1674428919
5,jamestown,42.097,-79.2353,32.02,72,100,4.61,US,1674428776
6,opuwo,-18.0607,13.84,68.31,74,96,5.21,NA,1674428920
7,hobart,-42.8794,147.3294,71.26,67,20,4.61,AU,1674428920
8,hilo,19.7297,-155.09,81.28,74,40,11.5,US,1674428693
9,upernavik,72.7868,-56.1549,-20.2,65,79,10.94,GL,1674428921
10,livny,52.4253,37.6069,27.34,75,100,6.73,RU,1674428921
11,bridlington,54.0831,-0.1919,35.89,81,100,11.5,GB,1674428922
12,moroni,-11.7022,43.2551,77.41,90,97,12.06,KM,1674428922
13,vaini,-21.2,-175.2,86.16,74,20,2.3,TO,1674428922
14,longyearbyen,78.2186,15.6401,37.24,81,75,12.66,SJ,1674428923
15,rikitea,-23.1203,-134.9692,79.7,76,3,16.17,PF,1674428923
16,laguna,38.421,-121.4238,58.17,39,0,26.46,US,1674428924
17,saint-francois,46.4154,3.9054,31.68,87,100,8.05,FR,1674428924
18,saint-pierre,-21.3393,55.4781,74.88,88,0,4.61,RE,1674428924
19,lima,-12.0432,-77.0282,74.35,68,28,9.84,PE,1674428406
20,blagoyevo,63.3667,47.9167,8.78,99,98,4.52,RU,1674428925
21,lompoc,34.6391,-120.4579,63.7,46,0,18.41,US,1674428925
22,san joaquin,37.9333,-121.3011,58.86,38,0,26.46,US,1674428926
23,pangoa,-12.1167,-73.0,72.03,92,97,1.45,PE,1674428926
24,ibirama,-27.0569,-49.5178,71.31,99,44,3.65,BR,1674428927
25,muroto,33.2833,134.15,47.95,87,100,26.46,JP,1674428927
26,aksu,41.1231,80.2644,5.95,82,5,7.43,CN,1674428928
27,weihe,32.9952,105.3247,31.87,87,100,5.41,CN,1674428928
28,faanui,-16.4833,-151.75,79.32,71,92,3.53,PF,1674428928
29,atuona,-9.8,-139.0333,79.03,76,84,19.44,PF,1674428929
30,petropavlovsk-kamchatskiy,53.0452,158.6483,-1.61,65,75,4.47,RU,1674428929
31,port blair,11.6667,92.75,74.73,79,0,10.0,IN,1674428930
32,kashi,39.4547,75.9797,6.35,77,100,4.81,CN,1674428930
33,praia,14.9215,-23.5087,70.34,60,20,11.5,CV,1674428931
34,san quintin,30.4833,-115.95,58.93,61,1,14.92,MX,1674428931
35,port elizabeth,-33.918,25.5701,71.31,96,99,4.99,ZA,1674428932
36,kapaa,22.0752,-159.319,81.48,70,40,4.61,US,1674428932
37,swellendam,-34.0226,20.4417,69.26,79,71,6.29,ZA,1674428932
38,salekhard,66.53,66.6019,16.29,91,11,8.25,RU,1674428933
39,albany,42.6001,-73.9662,35.94,75,100,6.06,US,1674428776
40,bluff,-46.6,168.3333,55.44,57,86,9.48,NZ,1674428933
41,hervey bay,-25.2986,152.8535,78.28,61,21,9.51,AU,1674428934
42,isangel,-19.55,169.2667,85.75,68,77,1.81,VU,1674428935
43,hithadhoo,-0.6,73.0833,80.24,77,71,8.43,MV,1674428935
44,port lincoln,-34.7333,135.8667,65.55,74,99,11.54,AU,1674428935
45,hermanus,-34.4187,19.2345,66.79,83,61,8.72,ZA,1674428936
46,mount gambier,-37.8333,140.7667,67.14,66,97,6.13,AU,1674428937
47,saskylakh,71.9167,114.0833,-28.57,87,100,2.53,RU,1674428937
48,punta arenas,-53.15,-70.9167,57.31,44,0,8.05,CL,1674428906
49,mount isa,-20.7333,139.5,83.97,23,79,4.61,AU,1674428938
50,busselton,-33.65,115.3333,70.99,51,0,8.9,AU,1674428938
51,ahipara,-35.1667,173.1667,71.19,66,84,3.87,NZ,1674428920
52,olinda,-8.0089,-34.8553,82.13,74,40,8.05,BR,1674428684
53,chyhyryn,49.0838,32.6555,29.32,88,7,8.41,UA,1674428939
54,puerto ayora,-0.7393,-90.3518,77.56,91,72,7.0,EC,1674428926
55,lodja,-3.4833,23.4333,68.34,95,38,0.18,CD,1674428905
56,maceio,-9.6658,-35.7353,78.24,88,20,5.75,BR,1674428940
57,dikson,73.5069,80.5464,-8.95,92,100,25.84,RU,1674428940
58,arraial do cabo,-22.9661,-42.0278,75.74,83,66,10.42,BR,1674428941
59,keti bandar,24.1447,67.4497,60.73,30,0,9.69,PK,1674428941
60,college,64.8569,-147.8028,-14.85,70,75,6.91,US,1674428941
61,yarada,17.65,83.2667,64.72,100,20,2.3,IN,1674428942
62,haveri,14.8,75.4,64.6,67,74,7.7,IN,1674428942
63,chokurdakh,70.6333,147.9167,-45.06,100,62,5.26,RU,1674428943
64,westport,41.1415,-73.3579,40.55,86,100,8.05,US,1674428943
65,praia da vitoria,38.7333,-27.0667,60.76,72,27,12.06,PT,1674428944
66,tura,25.5198,90.2201,56.62,52,5,3.38,IN,1674428944
67,merauke,-8.4667,140.3333,78.82,88,99,10.36,ID,1674428945
68,sitka,57.0531,-135.33,37.29,87,100,25.32,US,1674428945
69,chuy,-33.6971,-53.4616,70.84,73,23,7.27,UY,1674428921
70,cidreira,-30.1811,-50.2056,75.38,87,27,5.97,BR,1674428946
71,barabai,-2.5833,115.3833,73.65,98,100,1.36,ID,1674428947
72,holly springs,35.6513,-78.8336,49.51,93,100,3.0,US,1674428739
73,derzhavinsk,51.1,66.3167,6.55,85,97,10.45,KZ,1674428947
74,yellowknife,62.456,-114.3525,-13.31,95,72,4.56,CA,1674428948
75,lavrentiya,65.5833,-171.0,-20.56,93,61,11.3,RU,1674428948
76,ilulissat,69.2167,-51.1,19.42,73,100,16.11,GL,1674428923
77,eregli,37.5133,34.0467,38.98,51,0,1.54,TR,1674428949
78,urumqi,43.801,87.6005,-4.85,65,0,2.24,CN,1674428761
79,palizada,18.25,-92.0833,83.53,66,1,2.82,MX,1674428950
80,tiksi,71.6872,128.8694,-19.61,92,100,4.21,RU,1674428950
81,yanam,16.7333,82.2167,67.53,77,61,4.29,IN,1674428950
82,bredasdorp,-34.5322,20.0403,66.54,81,25,6.26,ZA,1674428951
83,makakilo city,21.3469,-158.0858,82.72,57,0,12.66,US,1674428951
84,broome,42.2506,-75.833,35.62,86,100,9.22,US,1674428952
85,cherskiy,68.75,161.3,-31.11,94,100,2.95,RU,1674428952
86,norman wells,65.282,-126.8329,-1.8,100,97,0.92,CA,1674428953
87,tuktoyaktuk,69.4541,-133.0374,-8.19,94,100,5.59,CA,1674428953
88,san rafael,-34.6177,-68.3301,87.64,21,0,10.16,AR,1674428789
89,vestmannaeyjar,63.4427,-20.2734,37.11,53,98,22.77,IS,1674428954
90,port hardy,50.6996,-127.4199,40.32,81,100,9.31,CA,1674428954
91,kaitangata,-46.2817,169.8464,60.19,45,24,8.39,NZ,1674428955
92,garissa,-0.4536,39.6401,77.23,75,99,8.93,KE,1674428955
93,souillac,-20.5167,57.5167,77.43,85,100,1.95,MU,1674428956
94,cape town,-33.9258,18.4232,69.12,71,0,1.99,ZA,1674428887
95,emba,48.8264,58.1442,6.71,71,0,5.14,KZ,1674428956
96,grand-santi,4.25,-54.3833,72.61,98,100,3.2,GF,1674428957
97,mecca,21.4267,39.8261,72.86,74,26,4.16,SA,1674428834
98,ola,59.5833,151.2833,-20.0,84,25,9.37,RU,1674428957
99,hobyo,5.3505,48.5268,76.42,77,32,20.65,SO,1674428958
100,pisco,-13.7,-76.2167,75.25,73,45,17.27,PE,1674428958
101,turukhansk,65.8167,87.9833,-8.63,91,100,14.54,RU,1674428959
102,new norfolk,-42.7826,147.0587,70.92,63,26,1.01,AU,1674428959
103,camocim,-2.9022,-40.8411,78.82,82,60,12.77,BR,1674428960
104,stromness,58.965,-3.296,47.88,86,100,11.01,GB,1674428960
105,los llanos de aridane,28.6585,-17.9182,60.55,86,75,20.71,ES,1674428961
106,ndele,8.4109,20.6473,74.25,20,90,5.1,CF,1674428961
107,camamu,-13.9447,-39.1039,76.37,85,100,3.67,BR,1674428961
108,east london,-33.0153,27.9116,72.16,88,100,5.08,ZA,1674428962
109,novo aripuana,-5.1206,-60.3797,75.36,95,50,3.18,BR,1674428962
110,altay,47.8667,88.1167,-10.88,51,0,6.78,CN,1674428713
111,camana,-16.6228,-72.7111,73.36,77,6,5.57,PE,1674428963
112,ushuaia,-54.8,-68.3,53.74,52,85,3.18,AR,1674428886
113,pacific grove,36.6177,-121.9166,60.48,62,0,11.01,US,1674428963
114,carnarvon,-24.8667,113.6333,75.47,75,37,19.66,AU,1674428964
115,pampa,35.5362,-100.9599,47.35,34,0,5.75,US,1674428913
116,honiara,-9.4333,159.95,84.96,69,100,2.68,SB,1674428964
117,diapaga,12.0708,1.7889,78.98,16,14,5.82,BF,1674428965
118,ponta do sol,32.6667,-17.1,64.71,65,56,8.52,PT,1674428965
119,bethel,41.3712,-73.414,38.48,79,100,5.75,US,1674428966
120,dicabisagan,17.0818,122.4157,74.57,85,96,1.95,PH,1674428966
121,khatanga,71.9667,102.5,-42.03,95,19,3.27,RU,1674428967
122,mar del plata,-38.0023,-57.5575,69.94,80,0,15.99,AR,1674428967
